origColName,newColName
"Are you self-employed?",
"How many employees does your company or organization have?",companySize
"Is your employer primarily a tech company/organization?",empPrimTech
"Is your primary role within your company related to tech/IT?",
"Does your employer provide mental health benefits as part of healthcare coverage?",empProvideMHB
"Do you know the options for mental health care available under your employer-provided coverage?",knowMHB
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",empDiscMH
"Does your employer offer resources to learn more about mental health concerns and options for seeking help?",empResourceMH
"Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?",anonProtected
"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",askLeaveDiff
"Do you think that discussing a mental health disorder with your employer would have negative consequences?",negConsDiscMH
"Do you think that discussing a physical health issue with your employer would have negative consequences?",negConsDiscPH
"Would you feel comfortable discussing a mental health disorder with your coworkers?",coworkComfMHD
"Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?",superComfMHD
"Do you feel that your employer takes mental health as seriously as physical health?",empSeriousMH
"Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?",heardNegConsMH
"Do you have medical coverage (private insurance or state-provided) which includes treatment of Â mental health issues?",
"Do you know local or online resources to seek help for a mental health disorder?",
"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?",
"If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",
"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",
"If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",
"Do you believe your productivity is ever affected by a mental health issue?",
"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",
"Do you have previous employers?",
"Have your previous employers provided mental health benefits?",
"Were you aware of the options for mental health care provided by your previous employers?",
"Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?",
"Did your previous employers provide resources to learn more about mental health issues and how to seek help?",
"Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?",
"Do you think that discussing a mental health disorder with previous employers would have negative consequences?",
"Do you think that discussing a physical health issue with previous employers would have negative consequences?",
"Would you have been willing to discuss a mental health issue with your previous co-workers?",
"Would you have been willing to discuss a mental health issue with your direct supervisor(s)?",
"Did you feel that your previous employers took mental health as seriously as physical health?",
"Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?",
"Would you be willing to bring up a physical health issue with a potential employer in an interview?",discInterviewPH
"Why or why not?",explanationPH
"Would you bring up a mental health issue with a potential employer in an interview?",discInterviewMH
"Why or why not?.1",explanationMH
"Do you feel that being identified as a person with a mental health issue would hurt your career?",hurtCareerMH
"Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?",teamNegMH
"How willing would you be to share with friends and family that you have a mental illness?",
"Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?",observeBadResponseMH
"Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?",
"Do you have a family history of mental illness?",
"Have you had a mental health disorder in the past?",
"Do you currently have a mental health disorder?",
"If yes, what condition(s) have you been diagnosed with?",
"If maybe, what condition(s) do you believe you have?",
"Have you been diagnosed with a mental health condition by a medical professional?",diagnosedWithMHD
"If so, what condition(s) were you diagnosed with?",
"Have you ever sought treatment for a mental health issue from a mental health professional?",
"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?",
"If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",
"What is your age?",age
"What is your gender?",gender
"What country do you live in?",
"What US state or territory do you live in?",
"What country do you work in?",country
"What US state or territory do you work in?",
"Which of the following best describes your work position?",
"Do you work remotely?",
